City,Rent_Index,Safety_Index,Cost_of_Living,Purchasing_Power,Quality_of_Life
Warsaw,69.83,62.3,99.71,103.42,36.12
Berlin,111.53,37.6,72.28,61.71,6.43
Berlin,57.9,60.84,57.7,93.79,38.42
Prague,57.93,55.12,43.05,116.03,47.06
Madrid,34.52,64.74,91.27,45.36,21.54
Paris,92.19,56.31,83.32,76.21,20.61
Amsterdam,27.99,79.09,48.29,101.5,53.9
Brussels,61.09,64.92,46.92,91.6,39.21
London,84.27,68.42,71.57,96.86,35.26
Copenhagen,82.98,39.99,74.56,96.17,26.41
Berlin,53.49,43.05,50.58,48.42,16.53
Oslo,91.15,78.17,76.86,77.74,28.63
Zurich,71.55,72.98,52.44,116.71,49.02
Rome,70.44,47.48,75.87,121.8,41.29
Zurich,118.28,62.23,57.2,41.82,6.02
Athens,76.26,88.64,76.9,120.84,51.99
Amsterdam,101.9,67.08,63.51,123.05,42.61
London,101.32,69.68,68.86,95.67,32.02
Madrid,59.87,86.53,70.63,75.07,36.95
Dublin,40.48,78.77,31.21,72.48,41.41
London,62.34,44.23,61.53,77.01,25.45
Oslo,50.57,64.71,38.59,76.83,36.17
Athens,55.43,71.73,88.19,44.17,19.28
Warsaw,108.65,37.21,98.85,93.3,16.87
Budapest,113.47,54.81,43.56,87.67,24.46
Prague,98.85,61.96,61.35,46.04,11.1
Prague,29.89,73.43,93.24,62.46,31.71
Madrid,66.15,70.61,36.25,109.68,48.2
London,109.31,44.78,30.36,91.33,25.07
Copenhagen,82.79,69.05,56.9,120.08,46.5
Helsinki,34.88,82.75,41.8,129.87,65.62
Prague,79.67,31.55,37.55,93.31,27.1
Helsinki,116.31,69.99,86.57,69.17,16.75
Paris,51.12,57.34,34.39,88.06,38.76
Helsinki,90.14,82.57,44.28,76.9,33.08
Oslo,100.1,54.4,95.19,101.1,27.22
Rome,70.81,47.36,45.9,61.31,19.98
London,68.74,48.57,46.23,78.54,27.62
Madrid,53.54,62.7,35.51,44.31,22.27
Vienna,114.82,58.3,81.15,88.57,21.84
Rome,113.77,60.68,94.63,77.78,17.1
Prague,111.1,71.9,53.55,120.22,42.08
Prague,102.32,80.66,59.44,63.18,23.06
Madrid,96.88,59.36,77.92,104.28,32.35
Oslo,42.67,76.73,79.9,113.17,51.76
Berlin,43.29,72.67,33.24,62.28,34.73
Budapest,47.7,71.54,92.34,69.83,30.62
Athens,107.9,68.12,70.01,107.15,34.72
Oslo,54.05,69.89,39.99,65.12,32.21
Athens,63.05,57.44,95.1,81.86,27.86
Amsterdam,95.38,43.82,65.42,92.19,24.4
Prague,84.94,79.79,98.35,79.2,28.79
Stockholm,38.37,77.81,31.81,41.86,29.23
Dublin,103.46,55.16,37.2,115.92,38.5
Vienna,38.33,35.41,81.94,41.23,11.26
Vienna,41.79,69.97,77.39,81.08,37.33
Zurich,91.63,30.34,77.11,122.65,32.13
Copenhagen,59.17,37.5,79.54,58.29,14.78
Copenhagen,101.83,68.55,39.82,66.21,22.7
London,69.63,82.23,73.25,65.82,29.75
Vienna,40.74,72.05,36.94,54.05,31.39
Amsterdam,65.71,63.5,81.01,115.79,44.12
Lisbon,27.64,69.06,88.12,115.76,52.68
Lisbon,94.68,63.04,75.29,75.52,22.65
Stockholm,91.38,66.86,56.16,112.79,41.28
Amsterdam,47.77,86.0,59.97,72.95,39.43
Zurich,59.91,61.33,49.27,40.44,17.67
Prague,103.53,46.87,42.04,69.05,16.77
Copenhagen,99.15,63.25,68.86,104.91,34.22
Vienna,107.05,84.58,98.87,89.16,29.74
Stockholm,82.24,35.75,48.17,47.36,8.4
Helsinki,23.07,73.47,73.73,41.68,26.73
Oslo,38.07,84.94,43.38,75.31,43.65
Copenhagen,103.43,51.87,51.01,48.54,9.19
Stockholm,94.96,40.09,95.35,98.13,22.75
Zurich,111.7,49.42,70.97,67.57,12.42
Budapest,100.61,87.21,62.86,50.43,19.93
Stockholm,72.24,30.12,83.56,113.6,31.67
Lisbon,41.7,79.85,40.95,90.01,47.52
Berlin,67.04,87.04,81.06,62.98,29.79
Copenhagen,85.63,32.53,59.69,102.93,27.84
Warsaw,90.59,62.72,40.05,87.95,31.87
Vienna,95.17,82.75,80.24,91.85,34.51
Amsterdam,38.0,87.11,43.56,125.41,64.34
London,114.12,86.02,44.47,70.89,26.89
Brussels,76.12,69.37,43.1,63.22,26.56
Berlin,110.14,85.11,82.2,70.33,23.42
Oslo,99.07,69.35,41.32,112.39,41.81
Copenhagen,34.08,44.28,86.84,51.99,18.58
Amsterdam,81.65,48.66,62.45,85.54,26.24
Helsinki,60.32,69.94,70.51,105.2,43.95
Oslo,117.32,46.6,30.32,69.66,15.35
Oslo,83.3,39.91,86.41,49.56,6.5
Brussels,95.4,53.21,33.86,117.56,40.52
Berlin,77.76,54.17,73.2,71.28,21.89
Oslo,31.61,61.61,78.64,47.85,23.44
Warsaw,58.42,77.71,78.74,65.37,29.9
Berlin,97.52,80.71,99.79,129.59,46.57
Copenhagen,57.82,34.02,97.52,124.7,38.77
Brussels,62.18,35.8,74.67,48.75,10.34
Zurich,52.89,49.0,70.26,85.66,31.36
Stockholm,76.56,68.59,35.21,89.69,37.62
Prague,66.13,40.78,88.3,73.03,19.39
Brussels,81.42,88.97,56.35,127.8,55.89
Copenhagen,46.1,59.63,93.1,126.32,49.89
Oslo,50.94,71.93,92.65,41.95,18.91
Copenhagen,70.23,80.34,52.81,49.66,24.64
Budapest,36.14,57.14,83.04,71.3,30.13
Stockholm,40.02,86.46,66.58,49.9,31.24
Oslo,86.7,54.48,86.6,117.18,37.22
Zurich,56.65,36.56,55.16,117.58,41.15
Amsterdam,73.27,58.97,82.93,115.02,40.75
Dublin,111.65,34.9,46.23,67.52,10.52
Warsaw,49.01,89.09,54.76,56.61,34.09
Oslo,90.53,79.54,92.97,117.6,43.5
Dublin,70.76,56.87,54.03,89.58,33.34
Stockholm,30.23,35.14,74.83,65.5,23.21
Prague,66.49,52.17,99.63,105.61,34.63
Budapest,24.19,74.8,37.55,42.01,30.65
Berlin,30.71,32.46,50.5,74.75,28.45
Madrid,97.43,44.25,43.57,73.71,18.92
Helsinki,86.7,34.91,49.54,108.23,31.47
Vienna,57.22,55.29,78.68,58.54,20.69
Copenhagen,113.76,43.03,42.93,63.83,11.4
Budapest,118.61,85.26,80.19,94.5,31.64
Zurich,30.58,40.99,38.5,86.11,36.77
Dublin,51.34,44.57,52.95,97.44,36.78
Prague,72.46,47.79,81.96,79.1,23.29
Athens,89.44,41.03,78.86,58.46,9.92
Copenhagen,58.01,65.23,65.54,50.49,21.61
Oslo,21.96,78.35,52.37,110.26,57.98
Copenhagen,46.47,81.52,62.47,90.92,45.28
Oslo,100.77,40.58,32.85,112.31,33.66
Amsterdam,77.49,40.38,32.28,75.34,23.52
Zurich,20.47,36.89,99.43,88.51,32.43
Warsaw,36.8,53.22,30.67,40.45,21.72
Lisbon,100.25,43.7,97.2,75.88,13.69
Berlin,94.79,84.39,43.3,128.19,53.31
Amsterdam,61.04,66.0,76.29,121.71,48.65
Berlin,44.36,75.89,70.51,127.46,57.83
Copenhagen,67.04,37.39,71.57,51.96,11.44
Zurich,119.97,37.18,85.86,93.33,15.91
Madrid,48.59,72.39,81.47,66.66,30.52
Rome,22.46,32.27,55.01,90.86,36.03
Vienna,79.85,84.92,48.95,47.38,23.56
Copenhagen,81.15,62.25,53.58,60.5,21.29
Berlin,61.88,63.0,37.59,59.59,26.6
Athens,82.37,53.61,35.72,91.11,32.48
Zurich,58.09,69.57,63.31,127.94,54.1
Stockholm,76.9,83.46,60.74,112.01,48.39
Warsaw,64.89,71.82,67.8,77.07,32.62
Dublin,61.02,79.57,55.79,41.35,22.63
Rome,92.18,33.48,89.42,81.65,15.33
Lisbon,22.32,38.99,78.75,125.04,49.37
Warsaw,51.04,66.62,89.09,91.86,37.61
Vienna,71.34,31.11,55.85,54.3,11.2
Warsaw,52.41,87.04,78.67,102.82,48.89
Stockholm,113.94,41.14,47.9,45.7,3.04
Zurich,32.27,65.41,38.92,88.22,44.56
Dublin,67.3,68.27,81.01,77.43,29.89
Prague,57.53,85.82,46.29,44.13,27.26
London,110.26,31.33,30.48,87.64,19.36
Vienna,77.59,41.96,57.07,117.05,38.18
Vienna,44.62,56.21,30.87,87.06,39.68
Prague,49.53,74.1,45.75,60.71,32.03
Rome,25.04,58.55,45.72,75.7,38.26
Dublin,38.7,77.11,82.29,124.25,56.86
Vienna,100.38,49.97,82.2,48.1,5.94
Budapest,62.62,64.61,44.75,72.31,31.31
Copenhagen,77.54,30.53,84.45,90.29,21.32
Paris,26.02,83.19,99.02,106.07,52.28
Vienna,104.77,51.54,87.1,87.82,20.93
London,88.49,64.86,57.64,42.32,12.92
Brussels,68.67,85.03,74.25,105.81,46.67
Budapest,54.59,78.29,54.28,74.6,36.98
Copenhagen,73.98,71.16,52.76,90.38,37.43
Lisbon,114.41,85.32,88.08,69.43,21.68
Paris,118.19,32.31,56.4,90.3,16.53
Zurich,100.51,35.39,58.3,45.69,2.96
Athens,90.11,67.31,39.85,95.3,36.31
Prague,108.68,85.73,56.09,78.16,29.64
Budapest,79.33,48.62,38.92,113.53,40.24
Copenhagen,65.97,39.74,93.92,72.48,18.33
Athens,98.87,32.99,49.97,96.15,23.59
London,98.42,76.09,98.5,79.42,25.06
Athens,21.57,36.82,89.25,51.09,18.24
London,97.73,56.61,94.05,46.87,6.78
Brussels,95.51,67.44,47.09,75.75,26.72
Vienna,63.43,69.0,73.34,119.05,48.3
Brussels,89.71,43.31,46.75,73.86,19.92
Oslo,96.09,62.44,49.76,42.74,11.63
Helsinki,118.87,30.52,66.93,96.1,17.13
Copenhagen,117.96,81.53,38.63,90.69,33.28
Brussels,44.49,38.62,41.53,71.13,26.99
Lisbon,104.52,68.81,66.8,128.0,44.26
Athens,38.04,69.42,49.85,49.38,27.98
Paris,23.13,34.15,95.32,97.51,35.09
Brussels,55.68,75.29,84.27,47.16,21.89
London,20.86,83.12,93.67,107.23,54.29
Athens,38.05,45.99,78.7,63.83,23.85
Vienna,51.37,58.14,44.6,110.56,46.93
Helsinki,100.85,72.84,72.4,111.58,39.07
Helsinki,102.42,33.2,66.27,78.32,14.18
Berlin,107.09,46.29,47.04,61.8,12.48
Prague,67.46,62.49,74.18,64.04,23.45
Prague,44.59,59.81,31.18,41.66,22.57
Dublin,98.75,55.14,50.57,85.04,25.75
Prague,70.08,43.72,63.72,121.76,41.43
Rome,67.7,56.97,62.58,124.86,47.24
Budapest,53.83,57.5,49.03,67.87,28.73
Stockholm,103.5,80.91,40.37,75.22,29.62
Warsaw,51.16,61.0,82.16,125.73,50.14
Dublin,84.92,45.26,67.83,102.83,30.94
Helsinki,37.56,72.15,94.99,106.28,47.15
Stockholm,117.11,87.09,81.88,41.04,10.93
Copenhagen,86.42,33.01,39.12,86.42,23.28
London,79.34,58.34,63.63,128.5,46.67
Brussels,86.16,47.69,67.03,128.95,41.95
Brussels,106.91,80.25,73.08,73.99,24.98
Amsterdam,71.61,63.44,82.03,85.79,30.82
Warsaw,117.87,87.58,78.02,112.49,39.89
Berlin,67.18,38.48,48.34,59.17,16.94
Madrid,53.77,40.83,84.43,71.87,21.8
Vienna,107.74,58.86,39.45,120.78,40.48
Madrid,28.52,73.48,63.55,126.34,60.52
Madrid,40.2,56.27,94.43,44.3,17.12
Rome,45.13,61.69,74.03,45.03,20.09
Rome,82.57,37.49,35.15,113.48,36.61
Athens,108.57,54.54,74.96,41.87,3.9
Lisbon,119.58,52.58,44.45,50.07,7.44
London,104.72,42.66,42.33,121.81,36.35
Warsaw,35.76,37.66,56.22,68.58,25.96
Warsaw,47.09,85.84,75.86,106.46,51.33
Dublin,30.02,56.13,52.82,117.19,52.43
Budapest,78.21,81.62,46.44,51.4,24.76
London,109.09,85.28,74.89,59.0,19.88
Athens,58.87,69.04,83.63,86.72,35.26
Dublin,71.26,85.24,97.29,119.92,49.56
Vienna,100.16,47.58,88.8,49.53,5.17
Copenhagen,114.64,57.1,35.04,109.4,34.46
Athens,67.31,39.45,95.26,108.77,32.35
Helsinki,59.54,61.94,42.69,108.35,45.74
Vienna,95.56,74.87,78.84,71.67,24.13
Brussels,81.9,73.38,49.27,96.19,39.18
Zurich,117.25,40.09,53.64,49.34,2.95
Vienna,41.33,46.39,37.23,51.03,22.34
Stockholm,92.4,69.19,79.7,41.87,11.05
Madrid,76.85,78.77,79.72,108.57,43.72
Budapest,67.13,68.26,30.25,110.44,48.2
Warsaw,57.4,65.28,95.78,75.01,28.53
Oslo,89.69,41.95,70.61,128.84,39.12
Berlin,95.55,58.94,33.04,41.98,12.06
Rome,85.58,83.22,47.7,123.47,52.47
Brussels,21.48,68.62,87.94,48.57,26.92
Athens,51.34,76.29,52.85,88.46,42.72
Vienna,49.71,53.99,70.18,88.18,34.51
Paris,117.06,42.58,64.22,70.22,11.03
Amsterdam,119.69,58.64,38.41,67.64,16.87
Copenhagen,21.29,30.46,35.26,87.31,36.28
Berlin,100.56,78.14,64.0,84.5,30.73
Lisbon,22.14,65.11,98.13,55.01,27.3
Vienna,70.2,44.59,41.3,99.21,34.89
Lisbon,114.05,55.42,83.56,115.98,31.85
Stockholm,21.29,73.62,46.08,102.37,54.17
Paris,45.65,64.07,68.05,129.69,55.16
Brussels,28.05,57.3,87.43,105.8,45.16
Oslo,59.71,79.34,95.62,42.94,19.47
Oslo,76.4,36.42,59.88,123.09,38.89
Zurich,43.44,57.71,35.09,67.94,32.29
Vienna,81.54,86.99,77.83,61.7,26.69
Lisbon,107.12,62.65,30.1,48.83,13.89
Helsinki,82.27,70.07,72.01,99.89,37.32
Warsaw,91.29,52.63,36.61,95.49,32.07
London,109.95,41.64,69.92,121.16,31.97
Lisbon,72.36,39.86,43.19,89.72,29.05
Amsterdam,59.74,55.3,88.41,99.81,35.73
Warsaw,92.07,69.01,86.77,86.86,28.36
Athens,100.47,86.34,45.56,82.65,34.31
Prague,32.03,33.21,90.91,79.02,26.07
Helsinki,43.73,36.1,60.96,116.66,42.65
Budapest,64.8,86.69,70.16,108.31,49.36
Zurich,57.04,89.48,64.96,90.22,45.03
Zurich,57.15,78.13,38.6,40.92,24.52
Rome,71.73,74.39,64.74,114.82,47.42
Athens,60.97,67.29,66.72,106.72,44.01
Prague,72.97,48.86,74.22,106.87,35.39
Helsinki,118.76,35.05,38.14,67.42,9.92
Madrid,114.16,49.4,66.39,126.24,35.84
Berlin,79.57,39.74,69.19,73.4,18.45
Prague,66.8,33.54,80.03,113.66,34.16
Helsinki,68.1,70.06,64.92,77.74,32.0
Lisbon,117.65,85.56,87.39,73.56,22.82
Vienna,26.19,36.37,47.35,68.51,28.34
Oslo,87.04,56.13,34.23,115.9,42.37
Rome,58.87,75.21,82.36,67.84,29.69
Madrid,101.94,47.16,57.39,104.65,29.88
Amsterdam,61.05,45.76,83.14,125.88,43.56
Budapest,45.4,62.73,48.59,76.35,35.42
Berlin,98.74,72.05,37.45,57.67,21.19
Warsaw,43.97,68.43,32.35,84.13,42.15
Zurich,111.81,80.65,35.77,118.66,45.72
Copenhagen,27.56,55.52,33.68,53.31,29.1
Madrid,86.58,54.45,95.51,117.1,36.31
Amsterdam,93.64,56.87,31.45,43.51,12.59
Berlin,95.61,78.88,51.28,65.52,25.62
Helsinki,31.21,39.04,90.32,104.92,38.41
Oslo,32.41,82.25,83.06,109.09,53.52
Warsaw,27.36,30.43,68.26,106.81,39.55
Paris,103.41,72.44,30.48,104.93,39.97
Madrid,71.99,48.25,30.97,119.07,44.61
Stockholm,30.06,80.07,67.06,125.54,61.52
Prague,61.89,39.7,91.47,121.2,38.87
Helsinki,104.94,68.78,53.7,99.92,34.24
Rome,94.81,71.62,42.37,73.72,27.77
Athens,76.27,51.35,74.89,44.7,10.54
Oslo,55.16,44.55,39.4,106.08,40.83
Stockholm,108.81,30.63,39.59,92.27,20.38
Dublin,73.28,84.21,97.92,82.09,33.65
Paris,113.47,43.58,91.93,117.88,28.34
Vienna,111.65,58.86,50.06,128.72,41.81
Paris,34.86,40.65,72.09,67.11,24.86
Budapest,50.39,68.73,79.75,59.69,26.44
Budapest,45.31,41.4,71.6,86.13,30.65
Rome,74.75,46.1,69.68,64.08,17.54
Prague,20.6,58.61,92.61,101.84,44.94
Prague,84.22,34.81,37.96,118.05,37.02
Lisbon,98.4,30.36,58.52,85.55,17.8
Prague,103.71,44.83,76.15,97.43,24.06
London,72.27,62.64,49.86,126.02,49.76
Dublin,50.75,42.82,78.98,83.78,28.31
Brussels,111.15,42.31,59.41,128.0,35.72
Stockholm,54.13,38.43,61.82,68.07,21.75
Berlin,89.85,43.23,87.94,129.5,38.01
Paris,108.48,57.42,72.77,125.85,38.59
Oslo,30.0,80.78,77.61,42.99,27.67
Budapest,114.7,33.13,79.68,40.98,-4.58
Oslo,30.28,75.61,60.97,75.78,40.84
Amsterdam,109.78,38.9,52.45,99.6,24.31
Helsinki,29.58,73.19,61.43,72.72,38.99
Oslo,106.3,58.48,42.39,124.47,41.83
Amsterdam,102.25,44.18,35.54,99.57,29.08
Vienna,111.95,31.33,61.52,49.88,0.81
Brussels,102.81,53.85,95.18,87.26,20.98
Amsterdam,91.71,47.01,67.75,80.9,21.35
Copenhagen,111.25,70.3,44.54,60.91,18.75
Rome,39.04,77.52,59.36,93.66,46.98
Stockholm,95.28,79.34,71.55,41.93,14.36
Rome,61.3,60.08,85.83,72.07,26.01
Athens,55.85,41.68,64.82,114.91,40.82
Stockholm,50.22,45.3,69.77,52.97,17.76
Dublin,42.31,89.61,96.01,89.43,44.59
Prague,33.28,84.22,56.96,101.07,53.34
Budapest,67.6,70.96,37.5,110.36,48.16
Paris,111.84,38.9,47.0,53.31,5.93
Warsaw,65.2,89.32,54.69,116.93,55.06
Paris,67.08,48.04,34.68,49.07,17.16
Copenhagen,114.25,88.16,76.02,81.94,28.77
Zurich,61.29,74.6,74.83,101.43,43.21
Helsinki,86.31,79.5,39.0,93.98,40.28
Berlin,31.33,55.42,82.05,87.68,37.23
Prague,81.91,74.79,77.86,77.6,29.31
Lisbon,55.02,76.27,74.03,121.54,53.09
Athens,99.7,33.21,83.97,52.45,2.61
Copenhagen,54.83,42.3,37.12,122.91,47.18
Prague,43.56,88.3,31.13,83.61,48.11
Paris,109.11,64.92,65.71,78.81,22.61
Athens,74.52,31.29,44.53,86.64,24.69
Rome,42.93,51.38,52.7,105.25,43.66
Warsaw,61.1,47.38,96.98,92.67,29.36
Copenhagen,29.06,56.8,91.35,44.01,19.7
Brussels,74.64,65.97,36.91,120.27,49.28
Warsaw,56.07,89.09,33.12,55.35,34.34
Paris,97.08,59.64,58.81,47.93,11.77
Lisbon,83.32,37.38,32.25,122.7,40.41
Helsinki,30.99,87.87,56.77,56.79,37.2
Lisbon,99.96,64.09,91.78,62.21,14.94
Copenhagen,45.34,88.88,52.2,110.34,56.51
Budapest,84.8,32.72,87.51,125.94,34.48
Amsterdam,57.53,31.48,92.32,69.14,16.36
Amsterdam,38.31,87.14,38.82,113.14,59.85
Paris,30.78,73.04,80.24,101.88,48.48
Helsinki,106.24,76.51,97.28,46.16,10.44
Budapest,94.77,49.84,87.82,88.62,22.66
Helsinki,45.36,61.38,99.21,63.83,24.95
Prague,78.26,70.73,83.0,122.76,46.37
Athens,109.57,33.63,78.04,87.65,15.43
London,97.24,57.73,54.05,123.77,41.97
Athens,68.91,42.75,43.42,102.5,35.7
Rome,45.1,71.7,43.78,122.26,57.02
Berlin,31.9,86.12,38.77,46.5,34.18
Oslo,70.62,73.78,89.25,46.34,17.62
Paris,106.34,88.27,98.66,117.03,42.16
Rome,88.58,71.98,97.58,48.07,13.35
Budapest,39.39,44.26,32.11,43.98,19.78
Helsinki,30.59,88.3,48.2,107.05,58.37
Stockholm,102.87,42.13,50.97,52.86,8.11
Amsterdam,72.34,69.0,40.93,94.21,39.82
Vienna,115.33,57.87,75.78,60.93,11.09
Berlin,80.27,88.66,58.09,112.89,49.89
London,53.32,43.35,32.13,127.76,50.23
Vienna,111.83,78.16,99.64,85.85,25.46
Prague,49.85,39.46,92.55,97.51,31.62
Amsterdam,102.94,45.85,36.87,69.06,17.1
Oslo,52.12,61.55,57.01,90.05,38.36
Vienna,40.35,76.63,63.08,64.73,34.5
Stockholm,64.35,59.17,37.96,97.58,40.12
Lisbon,112.36,59.72,50.79,41.57,6.99
Rome,109.98,44.27,53.47,109.31,29.66
Zurich,32.0,32.56,90.92,71.37,22.82
Oslo,31.35,77.17,90.56,42.98,25.02
Paris,101.79,74.55,42.7,75.68,28.01
Amsterdam,59.46,63.5,73.16,40.98,16.23
Budapest,80.54,54.5,31.11,51.32,17.66
Brussels,93.16,88.86,45.79,101.71,44.13
Paris,91.64,39.87,81.46,127.36,36.43
London,110.95,70.11,71.93,85.96,26.03
London,37.01,67.75,46.04,112.16,53.18
Copenhagen,30.37,32.55,73.63,103.58,37.76
Dublin,116.33,60.13,97.93,121.27,33.49
Lisbon,87.21,78.93,62.41,79.83,31.93
Warsaw,115.96,66.9,36.99,94.14,30.83
Vienna,100.73,74.55,44.55,113.19,43.04
Lisbon,96.9,40.23,48.45,95.66,26.11
Stockholm,76.32,48.08,94.63,116.84,36.43
Vienna,50.97,52.45,60.35,46.27,18.01
Warsaw,58.41,30.69,71.7,55.35,12.49
Madrid,49.75,37.28,60.95,93.05,32.36
Helsinki,53.05,59.99,54.95,101.67,42.56
Amsterdam,62.34,31.32,59.71,42.21,7.84
Prague,91.73,55.13,56.2,99.11,32.22
Copenhagen,73.89,87.19,35.77,107.62,50.85
Vienna,22.45,43.64,80.93,81.36,33.05
Berlin,43.88,62.94,53.69,50.63,24.99
Brussels,119.11,45.48,79.47,42.26,-1.22
Dublin,40.35,76.27,32.6,115.86,57.89
Warsaw,86.47,33.63,99.04,74.38,12.64
Oslo,100.78,83.02,70.94,111.52,42.26
Helsinki,73.91,57.97,75.26,83.28,28.4
Brussels,25.93,43.49,56.11,59.34,25.99
Lisbon,89.57,48.76,88.09,119.01,35.51
Berlin,20.3,51.91,88.24,103.68,44.16
Lisbon,95.8,40.87,87.31,115.13,30.42
Paris,64.59,78.28,88.08,81.35,34.3
Stockholm,21.8,85.01,43.7,91.5,53.37
